HCPCS_Cd,underpaid_rows,total_estimated_recovery,avg_gap_pct,avg_confidence,critical_or_high_count
51728,438,1517241.18,-44.24,0.4208,6
57250,246,1515500.03,-47.12,0.4415,11
55700,3562,1514650.19,-7.59,0.3153,0
71101,4924,1509667.84,-53.63,0.9172,0
12053,385,1505897.94,-48.06,0.702,6
97032,1303,1500596.22,-23.57,0.5761,0
31645,726,1492292.04,-38.19,0.4368,10
47563,677,1481591.55,-19.01,0.3204,13
74221,1618,1480519.84,-57.61,0.9233,2
88381,199,1480333.54,-81.16,0.576,20
68841,605,1467552.03,-49.87,0.6769,2
51784,2716,1461867.87,-33.73,0.8231,0
92134,2095,1452015.94,-12.02,0.5225,5
22830,146,1444459.21,-64.03,0.6848,21
36246,204,1437178.36,-29.19,0.4171,12
38222,3143,1420697.76,-13.41,0.4757,3
36558,2469,1408733.04,-9.45,0.46,1
37231,45,1406935.17,-7.86,0.4263,21
78451,218,1403584.28,-70.54,0.9602,33
11307,612,1399634.46,-19.4,0.5391,13
22513,259,1394254.73,-7.37,0.4342,5
G6013,476,1391934.14,-7.76,0.1334,0
17282,986,1386147.11,-13.4,0.5031,6
G0180,10132,1379136.01,-5.92,0.1791,1
93990,643,1378933.68,-72.52,0.6074,3
90836,1286,1376068.71,-10.81,0.2691,0
30469,95,1373205.41,-21.52,0.3541,15
22634,347,1370021.98,-35.86,0.5008,0
72082,1074,1363564.98,-65.27,0.8653,6
74160,733,1363008.19,-60.93,0.853,0
38724,206,1356744.8,-20.64,0.4424,16
99211,10794,1354212.92,-8.57,0.294,3
17281,991,1351257.55,-15.45,0.5221,3
51797,532,1349799.68,-59.02,0.7266,5
63030,206,1347064.03,-38.43,0.3898,5
11604,546,1347014.74,-35.05,0.6325,6
37221,164,1330550.53,-21.58,0.4286,19
33430,121,1328418.4,-24.27,0.4688,26
73140,2729,1284715.77,-68.64,0.9275,1
20551,1137,1281893.45,-17.86,0.5087,13
64566,695,1281139.23,-13.79,0.4829,12
G0506,1573,1268908.63,-11.3,0.2719,10
14061,632,1267997.63,-7.84,0.1815,2
30520,340,1259558.36,-29.27,0.3782,0
78832,110,1255677.31,-80.97,0.8607,37
20985,1407,1249440.86,-15.14,0.5609,14
20552,3458,1243036.14,-15.27,0.594,2
52287,1170,1239941.22,-10.44,0.196,1
51700,2636,1232300.33,-15.2,0.4807,0
64555,169,1222329.22,-22.58,0.3695,18
78195,369,1222169.39,-75.66,0.9812,9
11200,1656,1214578.03,-32.81,0.7201,0
94727,1310,1212196.76,-59.83,0.4434,0
96910,397,1206204.15,-8.39,0.4058,8
91010,483,1204004.08,-56.88,0.7357,5
12031,1024,1203742.87,-18.95,0.6101,1
95806,1347,1203520.07,-30.69,0.5815,0
93886,144,1202812.97,-66.43,0.4985,15
31579,805,1202650.12,-8.33,0.2469,0
61624,394,1188574.44,-10.83,0.258,0
38570,244,1183939.14,-57.09,0.5048,4
22585,377,1183801.96,-35.2,0.5747,3
36012,93,1183204.75,-42.05,0.3975,7
20605,4446,1178405.35,-12.52,0.5172,3
12034,647,1178154.3,-27.83,0.6014,2
11310,1040,1172950.84,-24.48,0.6582,2
29581,581,1164599.85,-20.43,0.3913,7
27335,37,1157197.82,-72.06,0.6415,18
27096,859,1155591.09,-19.77,0.2744,1
88311,6483,1152573.9,-16.73,0.8215,2
71270,655,1151616.42,-52.95,0.8227,3
22630,105,1147653.22,-34.47,0.3578,33
G2212,6870,1134438.46,-8.0,0.4288,2
17314,961,1133978.85,-6.9,0.3681,2
65756,290,1132005.35,-13.79,0.2262,2
